"Friends of Salim Adofo 2025","Salim Adofo","2025","Active","Council Ward 8"
"Dion Jordan for Ward 8 Council","Dion Jordan","2025","Active","Council Ward 8"
"Sheila Bunn for Ward 8 2025","Sheila Bunn","2025","Active","Council Ward 8"
"Mike For Ward 8","Mike Austin","2025","Active","Council Ward 8"
"Rise With Robbie Committee","Robbie Woodland ","2025","Active","Council Ward 8"
"Friends to Elect Lawrence Grayson","Lawrence Grayson","2025","Active","Council Ward 8"
"Charnal Chaney for Ward 8 Council","Charnal Chaney","2025","Active","Council Ward 8"
"Robert Butler for Ward 8","Robert Butler","2025","Active","Council Ward 8"
