"John Fanning for Ward 2","John Fanning","2020","Active","Council Ward 2"
"Kishan For DC 2020","Kishan Putta","2020","Active","Council Ward 2"
"Green for Ward 7","Anthony Lorenzo Green","2020","Active","Council Ward 7"
"Daniel Hernandez For Ward 2","Daniel Hernandez","2020","Active","Council Ward 2"
"Dale for DC","Anthony Dale","2020","Active","Council At-Large"
"Committee to Elect Janeese Lewis George","Janeese Lewis George","2020","Active","Council Ward 4"
"Markus for DC","Markus Batchelor","2020","Active","Council At-Large"
"Committee to Elect Taurus Phillips","Taurus Phillips","2020","Active","Council Ward 8"
"Gaston 2020","Darrell Gaston","2020","Active","SBOE Ward 8"
